Note,Time On (s),Time Off (s)
65,0.0,0.428571
60,0.0,0.428571
68,0.0,0.428571
60,0.428571,0.714285
65,0.428571,0.714285
68,0.428571,0.714285
60,0.714285,0.857142
65,0.714285,0.857142
61,0.857142,1.2857129999999999
65,0.857142,1.2857129999999999
61,1.2857129999999999,1.571427
65,1.2857129999999999,1.571427
61,1.571427,1.714284
68,1.714284,2.142855
63,1.714284,2.142855
68,2.142855,2.428569
63,2.142855,2.428569
68,2.428569,2.5714259999999998
63,2.428569,2.5714259999999998
63,2.5714259999999998,2.999997
67,2.5714259999999998,2.999997
67,2.999997,3.2857109999999996
63,2.999997,3.2857109999999996
63,3.2857109999999996,3.428568
68,3.428568,3.857139
60,3.428568,3.857139
65,3.428568,3.857139
60,3.857139,4.142853
65,3.857139,4.142853
68,3.857139,4.142853
60,4.142853,4.28571
65,4.142853,4.28571
61,4.28571,4.714281
65,4.28571,4.714281
61,4.714281,4.999994999999999
65,4.714281,4.999994999999999
61,4.999994999999999,5.1428519999999995
68,5.1428519999999995,5.571422999999999
63,5.1428519999999995,5.571422999999999
68,5.571422999999999,5.857136999999999
63,5.571422999999999,5.857136999999999
68,5.857136999999999,5.999994
63,5.857136999999999,5.999994
63,5.999994,6.428565
67,5.999994,6.428565
67,6.428565,6.714279
63,6.428565,6.714279
63,6.714279,6.857136
65,6.857136,7.2857069999999995
68,6.857136,7.2857069999999995
60,6.857136,7.2857069999999995
68,7.2857069999999995,7.571421
60,7.2857069999999995,7.571421
65,7.2857069999999995,7.571421
60,7.571421,7.714278
65,7.571421,7.714278
65,7.714278,8.142849
61,7.714278,8.142849
65,8.142849,8.428562999999999
61,8.142849,8.428562999999999
61,8.428562999999999,8.57142
63,8.57142,8.999991
68,8.57142,8.999991
63,8.999991,9.285705
68,8.999991,9.285705
68,9.285705,9.428562
63,9.285705,9.428562
63,9.428562,9.857133
67,9.428562,9.857133
67,9.857133,10.142847
63,9.857133,10.142847
63,10.142847,10.285703999999999
65,10.285703999999999,10.714275
68,10.285703999999999,10.714275
60,10.285703999999999,10.714275
68,10.714275,10.999989
60,10.714275,10.999989
65,10.714275,10.999989
60,10.999989,11.142845999999999
65,10.999989,11.142845999999999
65,11.142845999999999,11.571416999999999
61,11.142845999999999,11.571416999999999
65,11.571416999999999,11.857131
61,11.571416999999999,11.857131
61,11.857131,11.999988
68,11.999988,12.428559
63,11.999988,12.428559
63,12.428559,12.714272999999999
68,12.428559,12.714272999999999
63,12.714272999999999,12.85713
68,12.714272999999999,12.85713
63,12.85713,13.285700999999998
67,12.85713,13.285700999999998
63,13.285700999999998,13.571415
67,13.285700999999998,13.571415
63,13.571415,13.714272
65,13.714272,14.142843
60,13.714272,14.142843
68,13.714272,14.142843
68,14.142843,14.428557
60,14.142843,14.428557
65,14.142843,14.428557
60,14.428557,14.571413999999999
65,14.428557,14.571413999999999
65,14.571413999999999,14.999985
61,14.571413999999999,14.999985
65,14.999985,15.285699
61,14.999985,15.285699
61,15.285699,15.428556
63,15.428556,15.857126999999998
68,15.428556,15.857126999999998
63,15.857126999999998,16.142841
68,15.857126999999998,16.142841
68,16.142841,16.285698
63,16.142841,16.285698
63,16.285698,16.714268999999998
67,16.285698,16.714268999999998
67,16.714268999999998,16.999983
63,16.714268999999998,16.999983
63,16.999983,17.14284
65,17.14284,17.571411
68,17.14284,17.571411
60,17.14284,17.571411
68,17.571411,17.857125
60,17.571411,17.857125
65,17.571411,17.857125
60,17.857125,17.999982
65,17.857125,17.999982
65,17.999982,18.428552999999997
61,17.999982,18.428552999999997
65,18.428552999999997,18.714267
61,18.428552999999997,18.714267
61,18.714267,18.857124
63,18.857124,19.285695
68,18.857124,19.285695
63,19.285695,19.571409
68,19.285695,19.571409
68,19.571409,19.714266
63,19.571409,19.714266
63,19.714266,20.142837
67,19.714266,20.142837
67,20.142837,20.428551
63,20.142837,20.428551
63,20.428551,20.571407999999998
65,20.571407999999998,20.999979
68,20.571407999999998,20.999979
60,20.571407999999998,20.999979
65,20.999979,21.285693
60,20.999979,21.285693
68,20.999979,21.285693
60,21.285693,21.42855
65,21.285693,21.42855
65,21.42855,21.857120999999996
61,21.42855,21.857120999999996
65,21.857120999999996,22.142835
61,21.857120999999996,22.142835
61,22.142835,22.285691999999997
63,22.285691999999997,22.714263
68,22.285691999999997,22.714263
63,22.714263,22.999977
68,22.714263,22.999977
68,22.999977,23.142833999999997
63,22.999977,23.142833999999997
63,23.142833999999997,23.571405
67,23.142833999999997,23.571405
67,23.571405,23.857118999999997
63,23.571405,23.857118999999997
63,23.857118999999997,23.999976
68,23.999976,24.428547
60,23.999976,24.428547
65,23.999976,24.428547
60,24.428547,24.714260999999997
65,24.428547,24.714260999999997
68,24.428547,24.714260999999997
60,24.714260999999997,24.857118
65,24.714260999999997,24.857118
61,24.857118,25.285689
65,24.857118,25.285689
65,25.285689,25.571403
61,25.285689,25.571403
61,25.571403,25.71426
63,25.71426,26.142831
68,25.71426,26.142831
68,26.142831,26.428545
63,26.142831,26.428545
63,26.428545,26.571401999999996
68,26.428545,26.571401999999996
63,26.571401999999996,26.999972999999997
60,26.571401999999996,26.999972999999997
63,26.999972999999997,27.285687
60,26.999972999999997,27.285687
60,27.285687,27.428544
68,27.428544,27.857114999999997
60,27.428544,27.857114999999997
65,27.428544,27.857114999999997
60,27.857114999999997,28.142828999999995
65,27.857114999999997,28.142828999999995
68,27.857114999999997,28.142828999999995
60,28.142828999999995,28.285686
65,28.142828999999995,28.285686
61,28.285686,28.714257
65,28.285686,28.714257
61,28.714257,28.999971
65,28.714257,28.999971
61,28.999971,29.142827999999998
68,29.142827999999998,29.571399
63,29.142827999999998,29.571399
68,29.571399,29.857113
63,29.571399,29.857113
68,29.857113,29.99997
63,29.857113,29.99997
63,29.99997,30.428541
67,29.99997,30.428541
67,30.428541,30.714254999999998
63,30.428541,30.714254999999998
63,30.714254999999998,30.857112
60,30.857112,31.285682999999995
64,30.857112,31.285682999999995
60,31.285682999999995,31.571397
64,31.285682999999995,31.571397
60,31.571397,31.714253999999997
60,31.714253999999997,32.142824999999995
64,31.714253999999997,32.142824999999995
60,32.142824999999995,32.428539
64,32.142824999999995,32.428539
60,32.428539,32.571396
60,32.571396,32.999967
64,32.571396,32.999967
64,32.999967,33.285681
60,32.999967,33.285681
60,33.285681,33.428537999999996
64,33.428537999999996,33.857109
60,33.428537999999996,33.857109
64,33.857109,34.142823
60,33.857109,34.142823
60,34.142823,34.28568
68,34.28568,34.714251
60,34.28568,34.714251
65,34.28568,34.714251
60,34.714251,34.999964999999996
65,34.714251,34.999964999999996
68,34.714251,34.999964999999996
60,34.999964999999996,35.142822
65,34.999964999999996,35.142822
61,35.142822,35.571393
65,35.142822,35.571393
61,35.571393,35.857107
65,35.571393,35.857107
61,35.857107,35.999964
68,35.999964,36.428535
63,35.999964,36.428535
68,36.428535,36.714249
63,36.428535,36.714249
68,36.714249,36.857105999999995
63,36.714249,36.857105999999995
63,36.857105999999995,37.285677
67,36.857105999999995,37.285677
67,37.285677,37.571391
63,37.285677,37.571391
63,37.571391,37.714248
68,37.714248,38.142818999999996
60,37.714248,38.142818999999996
65,37.714248,38.142818999999996
60,38.142818999999996,38.428532999999995
65,38.142818999999996,38.428532999999995
68,38.142818999999996,38.428532999999995
60,38.428532999999995,38.57139
65,38.428532999999995,38.57139
61,38.57139,38.999961
65,38.57139,38.999961
65,38.999961,39.285675
61,38.999961,39.285675
61,39.285675,39.428532
63,39.428532,39.857103
68,39.428532,39.857103
68,39.857103,40.142817
63,39.857103,40.142817
63,40.142817,40.285674
68,40.142817,40.285674
63,40.285674,40.714245
60,40.285674,40.714245
63,40.714245,40.999959
60,40.714245,40.999959
60,40.999959,41.142815999999996
68,41.142815999999996,41.571386999999994
60,41.142815999999996,41.571386999999994
65,41.142815999999996,41.571386999999994
60,41.571386999999994,41.857101
65,41.571386999999994,41.857101
68,41.571386999999994,41.857101
60,41.857101,41.999958
65,41.857101,41.999958
61,41.999958,42.428529
65,41.999958,42.428529
61,42.428529,42.714243
65,42.428529,42.714243
61,42.714243,42.8571
68,42.8571,43.285671
63,42.8571,43.285671
68,43.285671,43.571385
63,43.285671,43.571385
68,43.571385,43.71424199999999
63,43.571385,43.71424199999999
63,43.71424199999999,44.142813
67,43.71424199999999,44.142813
67,44.142813,44.428527
63,44.142813,44.428527
63,44.428527,44.571383999999995
60,44.571383999999995,44.999955
64,44.571383999999995,44.999955
60,44.999955,45.28566899999999
64,44.999955,45.28566899999999
60,45.28566899999999,45.428526
60,45.428526,45.857097
64,45.428526,45.857097
60,45.857097,46.142810999999995
64,45.857097,46.142810999999995
60,46.142810999999995,46.285667999999994
60,46.285667999999994,46.714239
64,46.285667999999994,46.714239
64,46.714239,46.999953
60,46.714239,46.999953
60,46.999953,47.14281
64,47.14281,47.571381
60,47.14281,47.571381
64,47.571381,47.857094999999994
60,47.571381,47.857094999999994
60,47.857094999999994,47.999952
68,63.428507999999994,63.857079
60,63.428507999999994,63.857079
65,63.428507999999994,63.857079
60,63.857079,64.142793
65,63.857079,64.142793
68,63.857079,64.142793
60,64.142793,64.28564999999999
65,64.142793,64.28564999999999
61,64.28564999999999,64.714221
65,64.28564999999999,64.714221
61,64.714221,64.999935
65,64.714221,64.999935
61,64.999935,65.142792
68,65.142792,65.571363
63,65.142792,65.571363
68,65.571363,65.85707699999999
63,65.571363,65.85707699999999
68,65.85707699999999,65.999934
63,65.85707699999999,65.999934
63,65.999934,66.428505
67,65.999934,66.428505
67,66.428505,66.714219
63,66.428505,66.714219
63,66.714219,66.85707599999999
68,66.85707599999999,67.285647
60,66.85707599999999,67.285647
65,66.85707599999999,67.285647
60,67.285647,67.571361
65,67.285647,67.571361
68,67.285647,67.571361
60,67.571361,67.714218
65,67.571361,67.714218
61,67.714218,68.142789
65,67.714218,68.142789
61,68.142789,68.42850299999999
65,68.142789,68.42850299999999
61,68.42850299999999,68.57136
68,68.57136,68.99993099999999
63,68.57136,68.99993099999999
68,68.99993099999999,69.285645
63,68.99993099999999,69.285645
68,69.285645,69.428502
63,69.285645,69.428502
63,69.428502,69.857073
67,69.428502,69.857073
67,69.857073,70.142787
63,69.857073,70.142787
63,70.142787,70.285644
68,70.285644,70.714215
60,70.285644,70.714215
65,70.285644,70.714215
60,70.714215,70.999929
65,70.714215,70.999929
68,70.714215,70.999929
60,70.999929,71.142786
65,70.999929,71.142786
61,71.142786,71.57135699999999
65,71.142786,71.57135699999999
61,71.57135699999999,71.857071
65,71.57135699999999,71.857071
61,71.857071,71.999928
68,71.999928,72.428499
63,71.999928,72.428499
68,72.428499,72.714213
63,72.428499,72.714213
68,72.714213,72.85707
63,72.714213,72.85707
63,72.85707,73.285641
67,72.85707,73.285641
67,73.285641,73.571355
63,73.285641,73.571355
63,73.571355,73.71421199999999
68,73.71421199999999,74.142783
60,73.71421199999999,74.142783
65,73.71421199999999,74.142783
60,74.142783,74.428497
65,74.142783,74.428497
68,74.142783,74.428497
60,74.428497,74.571354
65,74.428497,74.571354
61,74.571354,74.999925
65,74.571354,74.999925
65,74.999925,75.28563899999999
61,74.999925,75.28563899999999
61,75.28563899999999,75.428496
63,75.428496,75.857067
68,75.428496,75.857067
68,75.857067,76.142781
63,75.857067,76.142781
63,76.142781,76.28563799999999
68,76.142781,76.28563799999999
63,76.28563799999999,76.714209
60,76.28563799999999,76.714209
63,76.714209,76.999923
60,76.714209,76.999923
60,76.999923,77.14278
68,77.14278,77.57135099999999
60,77.14278,77.57135099999999
65,77.14278,77.57135099999999
60,77.57135099999999,77.85706499999999
65,77.57135099999999,77.85706499999999
68,77.57135099999999,77.85706499999999
60,77.85706499999999,77.999922
65,77.85706499999999,77.999922
61,77.999922,78.42849299999999
65,77.999922,78.42849299999999
61,78.42849299999999,78.714207
65,78.42849299999999,78.714207
