Note,Time On (s),Time Off (s)
56,42.714243,42.8571
58,43.71424199999999,44.142813
58,44.142813,44.428527
58,44.428527,44.571383999999995
55,44.571383999999995,44.999955
55,44.999955,45.28566899999999
55,45.28566899999999,45.428526
55,45.428526,45.857097
55,45.857097,46.142810999999995
55,46.142810999999995,46.285667999999994
55,46.285667999999994,46.714239
55,46.714239,46.999953
55,46.999953,47.14281
55,47.14281,47.571381
55,47.571381,47.857094999999994
55,47.857094999999994,47.999952
56,64.28564999999999,64.714221
56,64.714221,64.999935
56,64.999935,65.142792
58,65.999934,66.428505
58,66.428505,66.714219
58,66.714219,66.85707599999999
56,67.714218,68.142789
56,68.142789,68.42850299999999
56,68.42850299999999,68.57136
58,69.428502,69.857073
58,69.857073,70.142787
58,70.142787,70.285644
56,71.142786,71.57135699999999
56,71.57135699999999,71.857071
56,71.857071,71.999928
58,72.85707,73.285641
58,73.285641,73.571355
58,73.571355,73.71421199999999
56,74.571354,74.999925
56,74.999925,75.28563899999999
56,75.28563899999999,75.428496
55,76.28563799999999,76.714209
55,76.714209,76.999923
55,76.999923,77.14278
56,77.999922,78.42849299999999
56,78.42849299999999,78.714207
56,78.714207,78.857064
58,79.714206,80.142777
58,80.142777,80.428491
58,80.428491,80.571348
55,80.571348,80.99991899999999
55,80.99991899999999,81.285633
55,81.285633,81.42849
55,81.42849,81.857061
55,81.857061,82.142775
55,82.142775,82.28563199999999
55,82.28563199999999,82.714203
55,82.714203,82.999917
55,82.999917,83.14277399999999
55,83.14277399999999,83.571345
55,83.571345,83.85705899999999
55,83.85705899999999,83.999916
56,84.857058,85.285629
56,85.285629,85.571343
56,85.571343,85.7142
58,86.571342,86.99991299999999
58,86.99991299999999,87.28562699999999
58,87.28562699999999,87.42848399999998
56,88.285626,88.714197
56,88.714197,88.999911
56,88.999911,89.14276799999999
55,89.99991,90.42848099999999
55,90.42848099999999,90.714195
55,90.714195,90.857052
56,91.714194,92.142765
56,92.142765,92.428479
56,92.428479,92.57133599999999
58,93.428478,93.857049
58,93.857049,94.142763
58,94.142763,94.28562
55,94.28562,94.71419099999999
55,94.71419099999999,94.999905
55,94.999905,95.142762
55,95.142762,95.571333
55,95.571333,95.85704700000001
55,95.85704700000001,95.999904
55,95.999904,96.42847499999999
55,96.42847499999999,96.71418899999999
55,96.71418899999999,96.85704599999998
55,96.85704599999998,97.285617
55,97.285617,97.57133099999999
55,97.57133099999999,97.714188
56,203.99979599999998,204.42836699999998
56,204.42836699999998,204.85693799999999
56,204.85693799999999,205.28550899999996
56,205.28550899999996,205.571223
56,205.571223,205.71408
58,207.428364,207.856935
58,207.856935,208.28550599999997
58,208.28550599999997,208.71407699999997
58,208.71407699999997,208.999791
58,208.999791,209.142648
56,210.856932,211.28550299999998
56,211.28550299999998,211.71407399999998
56,211.71407399999998,212.142645
56,212.142645,212.428359
56,212.428359,212.57121599999996
55,214.28549999999998,214.714071
55,214.714071,215.142642
55,215.142642,215.57121299999997
55,215.57121299999997,215.856927
55,215.856927,215.99978399999998
55,215.99978399999998,216.42835499999998
55,216.42835499999998,216.85692600000002
55,216.85692600000002,217.285497
55,217.285497,217.57121099999998
55,217.57121099999998,217.714068
55,217.714068,218.142639
55,218.142639,218.57120999999998
55,218.57120999999998,218.99978099999998
55,218.99978099999998,219.285495
55,219.285495,219.428352
55,219.428352,219.85692299999997
55,219.85692299999997,220.28549399999997
55,220.28549399999997,220.714065
55,220.714065,220.999779
55,220.999779,221.142636
56,221.999778,222.428349
56,222.428349,222.71406299999998
56,222.71406299999998,222.85691999999997
58,223.71406199999998,224.14263300000002
58,224.14263300000002,224.428347
58,224.428347,224.571204
56,225.428346,225.85691699999998
56,225.85691699999998,226.14263099999997
56,226.14263099999997,226.285488
58,227.14262999999997,227.57120099999997
58,227.57120099999997,227.856915
58,227.856915,227.999772
56,228.856914,229.285485
56,229.285485,229.57119899999998
56,229.57119899999998,229.714056
58,230.57119799999998,230.999769
58,230.999769,231.285483
58,231.285483,231.42833999999996
56,232.285482,232.714053
56,232.714053,232.999767
56,232.999767,233.14262399999998
48,12.714272999999999,12.7857015
48,12.85713,12.9285585
48,13.142843999999998,13.2142725
48,13.285700999999998,13.3571295
48,13.571415,13.6428435
48,13.714272,14.142843
41,13.714272,14.142843
48,14.142843,14.428557
41,14.142843,14.428557
48,14.428557,14.571413999999999
41,14.428557,14.571413999999999
44,14.571413999999999,14.999985
37,14.571413999999999,14.999985
44,14.999985,15.285699
37,14.999985,15.285699
44,15.285699,15.428556
37,15.285699,15.428556
51,15.428556,15.857126999999998
44,15.428556,15.857126999999998
51,15.857126999999998,16.142841
44,15.857126999999998,16.142841
51,16.142841,16.285698
44,16.142841,16.285698
46,16.285698,16.714268999999998
39,16.285698,16.714268999999998
46,16.714268999999998,16.999983
39,16.714268999999998,16.999983
46,16.999983,17.14284
39,16.999983,17.14284
48,17.14284,17.571411
41,17.14284,17.571411
48,17.571411,17.857125
41,17.571411,17.857125
48,17.857125,17.999982
41,17.857125,17.999982
44,17.999982,18.428552999999997
37,17.999982,18.428552999999997
44,18.428552999999997,18.714267
37,18.428552999999997,18.714267
44,18.714267,18.857124
37,18.714267,18.857124
51,18.857124,19.285695
44,18.857124,19.285695
51,19.285695,19.571409
44,19.285695,19.571409
51,19.571409,19.714266
44,19.571409,19.714266
46,19.714266,20.142837
39,19.714266,20.142837
46,20.142837,20.428551
39,20.142837,20.428551
46,20.428551,20.571407999999998
39,20.428551,20.571407999999998
48,20.571407999999998,20.999979
41,20.571407999999998,20.999979
48,20.999979,21.285693
41,20.999979,21.285693
48,21.285693,21.42855
41,21.285693,21.42855
44,21.42855,21.857120999999996
37,21.42855,21.857120999999996
44,21.857120999999996,22.142835
37,21.857120999999996,22.142835
44,22.142835,22.285691999999997
37,22.142835,22.285691999999997
51,22.285691999999997,22.714263
44,22.285691999999997,22.714263
51,22.714263,22.999977
44,22.714263,22.999977
51,22.999977,23.142833999999997
44,22.999977,23.142833999999997
46,23.142833999999997,23.571405
39,23.142833999999997,23.571405
46,23.571405,23.857118999999997
39,23.571405,23.857118999999997
46,23.857118999999997,23.999976
39,23.857118999999997,23.999976
41,23.999976,24.428547
48,23.999976,24.428547
48,24.428547,24.714260999999997
41,24.428547,24.714260999999997
48,24.714260999999997,24.857118
41,24.714260999999997,24.857118
37,24.857118,25.285689
44,24.857118,25.285689
37,25.285689,25.571403
44,25.285689,25.571403
44,25.571403,25.71426
37,25.571403,25.71426
44,25.71426,26.142831
51,25.71426,26.142831
44,26.142831,26.428545
51,26.142831,26.428545
51,26.428545,26.571401999999996
44,26.428545,26.571401999999996
43,26.571401999999996,26.999972999999997
36,26.571401999999996,26.999972999999997
43,26.999972999999997,27.285687
36,26.999972999999997,27.285687
43,27.285687,27.428544
36,27.285687,27.428544
41,27.428544,27.857114999999997
48,27.428544,27.857114999999997
41,27.857114999999997,28.142828999999995
48,27.857114999999997,28.142828999999995
48,28.142828999999995,28.285686
41,28.142828999999995,28.285686
37,28.285686,28.714257
44,28.285686,28.714257
37,28.714257,28.999971
44,28.714257,28.999971
44,28.999971,29.142827999999998
37,28.999971,29.142827999999998
44,29.142827999999998,29.571399
51,29.142827999999998,29.571399
44,29.571399,29.857113
51,29.571399,29.857113
51,29.857113,29.99997
44,29.857113,29.99997
46,29.99997,30.428541
39,29.99997,30.428541
46,30.428541,30.714254999999998
39,30.428541,30.714254999999998
46,30.714254999999998,30.857112
39,30.714254999999998,30.857112
36,30.857112,31.285682999999995
43,30.857112,31.285682999999995
36,31.285682999999995,31.571397
43,31.285682999999995,31.571397
43,31.571397,31.714253999999997
36,31.571397,31.714253999999997
36,31.714253999999997,32.142824999999995
43,31.714253999999997,32.142824999999995
36,32.142824999999995,32.428539
43,32.142824999999995,32.428539
43,32.428539,32.571396
36,32.428539,32.571396
36,32.571396,32.999967
43,32.571396,32.999967
36,32.999967,33.285681
43,32.999967,33.285681
43,33.285681,33.428537999999996
