Note,Time On (s),Time Off (s)
72,1.714284,2.142855
72,2.142855,2.428569
72,5.1428519999999995,5.571422999999999
72,5.571422999999999,5.857136999999999
72,8.57142,8.999991
72,8.999991,9.285705
72,11.999988,12.428559
72,12.428559,12.714272999999999
72,15.428556,15.857126999999998
72,15.857126999999998,16.142841
72,18.857124,19.285695
72,19.285695,19.571409
72,22.285691999999997,22.714263
72,22.714263,22.999977
72,25.71426,26.142831
72,26.142831,26.428545
72,29.142827999999998,29.571399
72,29.571399,29.857113
72,35.999964,36.428535
72,36.428535,36.714249
72,39.428532,39.857103
72,39.857103,40.142817
72,42.8571,43.285671
72,43.285671,43.571385
72,65.142792,65.571363
72,65.571363,65.85707699999999
72,68.57136,68.99993099999999
72,68.99993099999999,69.285645
72,71.999928,72.428499
72,72.428499,72.714213
72,75.428496,75.857067
72,75.857067,76.142781
72,78.857064,79.285635
72,79.285635,79.571349
72,85.7142,86.142771
72,86.142771,86.42848500000001
72,89.14276799999999,89.57133900000001
72,89.57133900000001,89.857053
72,92.57133599999999,92.999907
72,92.999907,93.28562099999999
72,205.71408,206.142651
72,206.142651,206.571222
72,206.571222,206.99979299999998
72,206.99979299999998,207.28550699999997
72,212.57121599999996,212.999787
72,212.999787,213.428358
72,213.428358,213.856929
72,213.856929,214.142643
72,222.85691999999997,223.28549099999998
72,223.28549099999998,223.571205
72,226.285488,226.714059
72,226.714059,226.999773
72,229.714056,230.14262699999998
72,230.14262699999998,230.42834100000002
72,132.285582,132.71415299999998
72,133.142724,133.285581
72,138.857004,140.571288
77,140.571288,143.999856
